,count,mean,std,min,25%,50%,75%,max,rango
Close,2273.0,1840.2673400791905,671.5740235768162,1063.059,1289.581,1739.818,2005.608,4365.224999999999,3302.1659999999993
Returns,2272.0,0.0005579367161929826,0.008107084632416198,-0.0632654050537293,-0.002693066629851575,0.0,0.0036987380617150498,0.0472238154016852,0.1104892204554145
Volatility_30,2252.0,11.21764277978296,4.463803708721928,0.0,8.321244415042148,10.40340994476151,13.155186790286294,34.76932669390881,34.76932669390881
