Modelo,Error Medio,Desv. Estándar,Error Mínimo,Error Máximo,Error Abs. Medio
LSTM Base,453.63,262.65,71.41,1308.62,453.63
LSTM + Sentimiento,486.24,269.06,82.54,1360.03,486.24
